correct,shoulder,hip,ankle
True,163.19818878173828,101.27083492279053,88.94645690917969
True,162.90052032470703,102.18237781524658,88.85455322265625
True,163.29519653320312,102.03370380401611,88.80210876464844
True,163.6368408203125,101.54654884338379,88.83503723144531
True,164.03050994873047,102.51325225830078,89.89861297607422
True,164.12647247314453,101.94613933563232,89.00521850585938
True,164.00518035888672,101.9793872833252,88.7281265258789
True,163.59322357177734,102.12992572784424,88.53839874267578
True,164.2295150756836,102.13847064971924,88.62838745117188
True,164.03874969482422,102.97154140472412,89.54239654541016
True,163.79743194580078,101.91981506347656,88.08892822265625
True,163.21774291992188,101.92173767089844,88.59359741210938
True,163.76567840576172,102.9204454421997,88.50479125976562
True,164.26754760742188,102.95156288146973,90.04841613769531
True,164.27227783203125,102.61303424835205,89.93246459960938
True,164.22245025634766,101.94470596313477,89.13980102539062
True,164.69609832763672,102.58728313446045,90.42813873291016
True,165.0536651611328,101.69064903259277,89.0782470703125
True,165.1923370361328,101.97363090515137,88.76864624023438
True,164.90050506591797,102.39315128326416,89.04981231689453
True,164.80999755859375,104.88903903961182,90.91614532470703
True,164.06836700439453,106.46673393249512,92.70272064208984
True,163.84718322753906,107.1427698135376,94.2210464477539
True,163.3731231689453,108.87533187866211,95.59599304199219
True,162.03985595703125,111.00771522521973,97.68424987792969
True,163.4791717529297,113.3475570678711,99.4244384765625
True,164.91852569580078,117.05291175842285,102.96194458007812
True,165.69693756103516,116.27147102355957,102.20862579345703
True,166.68498992919922,113.93005180358887,99.00067138671875
True,165.06664276123047,114.08808517456055,100.49954223632812
True,164.21257781982422,114.42947387695312,101.6864013671875
True,164.20641326904297,115.54629516601562,102.09263610839844
True,164.0284194946289,117.81192779541016,103.89275360107422
True,164.7064208984375,116.12861251831055,101.46389770507812
True,165.01666259765625,116.0572566986084,101.68986511230469
True,164.46575927734375,115.48541450500488,100.69669342041016
True,165.11415100097656,115.00387573242188,99.77417755126953
True,165.43771362304688,115.0816879272461,100.48675537109375
True,164.59388732910156,114.17997741699219,98.75511169433594
True,164.49063110351562,114.00396919250488,99.67593383789062
True,164.74966430664062,114.78958511352539,100.5278549194336
True,163.3240737915039,120.12898254394531,107.13896179199219
True,163.18291473388672,118.86920166015625,106.4908447265625
True,161.46472930908203,118.71758842468262,105.97407531738281
True,161.05941772460938,117.69402122497559,104.77850341796875
